"Year: All values"
"Gender: All values"
"Academic Discipline, Broad (standardized): All values"
"Level of Degree or Other Award: All values"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)"
"1977","Male","Psychology","Doctorate Degrees","1,770"
"1977","Male","Psychology","Master's Degrees","4,316"
"1977","Male","Psychology","Bachelor's Degrees","20,692"
"1977","Male","Social Sciences","Doctorate Degrees","2,695"
"1977","Male","Social Sciences","Master's Degrees","14,906"
"1977","Male","Social Sciences","Bachelor's Degrees","60,181"
"1977","Male","Social Sciences","Associate's Degrees","704"
"1977","Male","Social Sciences","2 But Less Than 4 Year Certificates","203"
"1977","Male","Social Sciences","1 But Less Than 2 Year Certificates","357"
"1977","Male","Science and Engineering Technologies","Doctorate Degrees","18"
"1977","Male","Science and Engineering Technologies","Master's Degrees","601"
"1977","Male","Science and Engineering Technologies","Bachelor's Degrees","10,613"
"1977","Male","Science and Engineering Technologies","Associate's Degrees","43,084"
"1977","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","11,152"
"1977","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","16,995"
"1977","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","49"
"1977","Male","Interdisciplinary or Other Sciences","Master's Degrees","1,146"
"1977","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","4,050"
"1977","Male","Humanities","Doctorate Degrees","2,211"
"1977","Male","Humanities","Master's Degrees","6,647"
"1977","Male","Humanities","Bachelor's Degrees","37,813"
"1977","Male","Religion and Theology","Doctorate Degrees","1,152"
"1977","Male","Religion and Theology","First Professional Degrees","5,307"
"1977","Male","Religion and Theology","Master's Degrees","1,926"
"1977","Male","Religion and Theology","Bachelor's Degrees","5,995"
"1977","Male","Religion and Theology","Associate's Degrees","436"
"1977","Male","Religion and Theology","2 But Less Than 4 Year Certificates","405"
"1977","Male","Religion and Theology","1 But Less Than 2 Year Certificates","38"
"1977","Male","Arts and Music","Doctorate Degrees","456"
"1977","Male","Arts and Music","Master's Degrees","4,384"
"1977","Male","Arts and Music","Bachelor's Degrees","16,431"
"1977","Male","Arts and Music","Associate's Degrees","1,895"
"1977","Male","Arts and Music","2 But Less Than 4 Year Certificates","185"
"1977","Male","Arts and Music","1 But Less Than 2 Year Certificates","118"
"1977","Male","Architecture and Environmental Design","Doctorate Degrees","62"
"1977","Male","Architecture and Environmental Design","Master's Degrees","2,494"
"1977","Male","Architecture and Environmental Design","Bachelor's Degrees","7,270"
"1977","Male","Education","Doctorate Degrees","5,225"
"1977","Male","Education","Master's Degrees","44,102"
"1977","Male","Education","Bachelor's Degrees","41,230"
"1977","Male","Education","Associate's Degrees","743"
"1977","Male","Education","2 But Less Than 4 Year Certificates","136"
"1977","Male","Education","1 But Less Than 2 Year Certificates","62"
"1977","Male","Business and Management","Doctorate Degrees","865"
"1977","Male","Business and Management","Master's Degrees","40,100"
"1977","Male","Business and Management","Bachelor's Degrees","119,046"
"1977","Male","Business and Management","Associate's Degrees","44,078"
"1977","Male","Business and Management","2 But Less Than 4 Year Certificates","2,212"
"1977","Male","Business and Management","1 But Less Than 2 Year Certificates","5,604"
"1977","Male","Communication and Librarianship","Doctorate Degrees","159"
"1977","Male","Communication and Librarianship","Master's Degrees","3,142"
"1977","Male","Communication and Librarianship","Bachelor's Degrees","11,985"
"1977","Male","Communication and Librarianship","Associate's Degrees","124"
"1977","Male","Communication and Librarianship","2 But Less Than 4 Year Certificates","3"
"1977","Male","Communication and Librarianship","1 But Less Than 2 Year Certificates","5"
"1977","Male","Law","Doctorate Degrees","52"
"1977","Male","Law","First Professional Degrees","26,618"
"1977","Male","Law","Master's Degrees","1,366"
"1977","Male","Law","Bachelor's Degrees","405"
"1977","Male","Social Service Professions","Doctorate Degrees","92"
"1977","Male","Social Service Professions","Master's Degrees","3,682"
"1977","Male","Social Service Professions","Bachelor's Degrees","3,429"
"1977","Male","Social Service Professions","Associate's Degrees","1,250"
"1977","Male","Social Service Professions","2 But Less Than 4 Year Certificates","29"
"1977","Male","Social Service Professions","1 But Less Than 2 Year Certificates","58"
"1977","Male","Vocational Studies and Home Economics","Doctorate Degrees","45"
"1977","Male","Vocational Studies and Home Economics","Master's Degrees","1,600"
"1977","Male","Vocational Studies and Home Economics","Bachelor's Degrees","12,271"
"1977","Male","Vocational Studies and Home Economics","Associate's Degrees","19,413"
"1977","Male","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","892"
"1977","Male","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","2,097"
"1977","Male","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","179"
"1977","Male","Other Non-sciences or Unknown Disciplines","First Professional Degrees","12"
"1977","Male","Other Non-sciences or Unknown Disciplines","Master's Degrees","2,370"
"1977","Male","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","19,087"
"1977","Male","Other Non-sciences or Unknown Disciplines","Associate's Degrees","96,047"
"1977","Male","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","3,115"
"1977","Male","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","3,102"
"1977","Male","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","4,936"
"1978","Female","Engineering","Doctorate Degrees","57"
"1978","Female","Engineering","Master's Degrees","843"
"1978","Female","Engineering","Bachelor's Degrees","3,482"
"1978","Female","Physical Sciences","Doctorate Degrees","271"
"1978","Female","Physical Sciences","Master's Degrees","653"
"1978","Female","Physical Sciences","Bachelor's Degrees","3,690"
"1978","Female","Geosciences","Doctorate Degrees","41"
"1978","Female","Geosciences","Master's Degrees","290"
"1978","Female","Geosciences","Bachelor's Degrees","1,294"
"1978","Female","Math and Computer Sciences","Doctorate Degrees","139"
"1978","Female","Math and Computer Sciences","Master's Degrees","1,717"
"1978","Female","Math and Computer Sciences","Bachelor's Degrees","7,110"
"1978","Female","Life Sciences","Doctorate Degrees","1,099"
"1978","Female","Life Sciences","First Professional Degrees","4,695"
"1978","Female","Life Sciences","Master's Degrees","12,518"
"1978","Female","Life Sciences","Bachelor's Degrees","66,863"
"1978","Female","Life Sciences","Associate's Degrees","33,430"
"1978","Female","Life Sciences","2 But Less Than 4 Year Certificates","371"
"1978","Female","Life Sciences","1 But Less Than 2 Year Certificates","560"
"1978","Female","Psychology","Doctorate Degrees","971"
"1978","Female","Psychology","Master's Degrees","4,263"
"1978","Female","Psychology","Bachelor's Degrees","26,540"
"1978","Female","Social Sciences","Doctorate Degrees","829"
"1978","Female","Social Sciences","Master's Degrees","6,444"
"1978","Female","Social Sciences","Bachelor's Degrees","41,188"
"1978","Female","Social Sciences","Associate's Degrees","1,048"
"1978","Female","Social Sciences","2 But Less Than 4 Year Certificates","125"
"1978","Female","Social Sciences","1 But Less Than 2 Year Certificates","260"
"1978","Female","Science and Engineering Technologies","Doctorate Degrees","3"
"1978","Female","Science and Engineering Technologies","Master's Degrees","356"
"1978","Female","Science and Engineering Technologies","Bachelor's Degrees","6,472"
"1978","Female","Science and Engineering Technologies","Associate's Degrees","27,311"
"1978","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","4,765"
"1978","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","20,992"
"1978","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","16"
"1978","Female","Interdisciplinary or Other Sciences","Master's Degrees","134"
"1978","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,341"
"1978","Female","Humanities","Doctorate Degrees","1,261"
"1978","Female","Humanities","Master's Degrees","8,149"
"1978","Female","Humanities","Bachelor's Degrees","41,872"
"1978","Female","Religion and Theology","Doctorate Degrees","72"
"1978","Female","Religion and Theology","First Professional Degrees","722"
"1978","Female","Religion and Theology","Master's Degrees","810"
"1978","Female","Religion and Theology","Bachelor's Degrees","2,062"
"1978","Female","Religion and Theology","Associate's Degrees","225"
"1978","Female","Religion and Theology","2 But Less Than 4 Year Certificates","343"
"1978","Female","Religion and Theology","1 But Less Than 2 Year Certificates","76"
"1978","Female","Arts and Music","Doctorate Degrees","261"
"1978","Female","Arts and Music","Master's Degrees","4,752"
"1978","Female","Arts and Music","Bachelor's Degrees","25,557"
"1978","Female","Arts and Music","Associate's Degrees","3,244"
"1978","Female","Arts and Music","2 But Less Than 4 Year Certificates","278"
"1978","Female","Arts and Music","1 But Less Than 2 Year Certificates","1,007"
"1978","Female","Architecture and Environmental Design","Doctorate Degrees","16"
"1978","Female","Architecture and Environmental Design","Master's Degrees","812"
"1978","Female","Architecture and Environmental Design","Bachelor's Degrees","2,199"
"1978","Female","Education","Doctorate Degrees","2,966"
"1978","Female","Education","Master's Degrees","81,428"
"1978","Female","Education","Bachelor's Degrees","100,605"
"1978","Female","Education","Associate's Degrees","4,856"
"1978","Female","Education","2 But Less Than 4 Year Certificates","456"
"1978","Female","Education","1 But Less Than 2 Year Certificates","1,005"
"1978","Female","Business and Management","Doctorate Degrees","73"
"1978","Female","Business and Management","Master's Degrees","8,310"
"1978","Female","Business and Management","Bachelor's Degrees","45,707"
"1978","Female","Business and Management","Associate's Degrees","47,147"
"1978","Female","Business and Management","2 But Less Than 4 Year Certificates","4,905"
"1978","Female","Business and Management","1 But Less Than 2 Year Certificates","14,361"
"1978","Female","Communication and Librarianship","Doctorate Degrees","75"
"1978","Female","Communication and Librarianship","Master's Degrees","7,099"
"1978","Female","Communication and Librarianship","Bachelor's Degrees","11,961"
"1978","Female","Communication and Librarianship","Associate's Degrees","421"
"1978","Female","Communication and Librarianship","2 But Less Than 4 Year Certificates","50"
"1978","Female","Communication and Librarianship","1 But Less Than 2 Year Certificates","166"
"1978","Female","Law","Doctorate Degrees","5"
"1978","Female","Law","First Professional Degrees","8,994"
"1978","Female","Law","Master's Degrees","261"
"1978","Female","Law","Bachelor's Degrees","187"
"1978","Female","Social Service Professions","Doctorate Degrees","100"
"1978","Female","Social Service Professions","Master's Degrees","7,591"
"1978","Female","Social Service Professions","Bachelor's Degrees","11,225"
"1978","Female","Social Service Professions","Associate's Degrees","2,787"
"1978","Female","Social Service Professions","2 But Less Than 4 Year Certificates","151"
"1978","Female","Social Service Professions","1 But Less Than 2 Year Certificates","142"
"1978","Female","Vocational Studies and Home Economics","Doctorate Degrees","150"
"1978","Female","Vocational Studies and Home Economics","Master's Degrees","2,792"
"1978","Female","Vocational Studies and Home Economics","Bachelor's Degrees","20,917"
"1978","Female","Vocational Studies and Home Economics","Associate's Degrees","6,029"
"1978","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","407"
"1978","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","1,442"
"1978","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","82"
"1978","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","1,886"
"1978","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","18,863"
"1978","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","83,683"
"1978","Female","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","1,579"
"1978","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","1,421"
"1978","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","3,042"
"1978","Male","Engineering","Doctorate Degrees","2,399"
"1978","Male","Engineering","Master's Degrees","15,237"
"1978","Male","Engineering","Bachelor's Degrees","43,769"
"1978","Male","Physical Sciences","Doctorate Degrees","2,370"
"1978","Male","Physical Sciences","Master's Degrees","3,060"
"1978","Male","Physical Sciences","Bachelor's Degrees","13,453"
"1978","Male","Geosciences","Doctorate Degrees","436"
"1978","Male","Geosciences","Master's Degrees","1,542"
"1978","Male","Geosciences","Bachelor's Degrees","4,709"
"1978","Male","Math and Computer Sciences","Doctorate Degrees","862"
"1978","Male","Math and Computer Sciences","Master's Degrees","4,704"
"1978","Male","Math and Computer Sciences","Bachelor's Degrees","12,815"
"1978","Male","Life Sciences","Doctorate Degrees","3,579"
"1978","Male","Life Sciences","First Professional Degrees","21,286"
"1978","Male","Life Sciences","Master's Degrees","10,844"
"1978","Male","Life Sciences","Bachelor's Degrees","55,181"
"1978","Male","Life Sciences","Associate's Degrees","4,295"
"1978","Male","Life Sciences","2 But Less Than 4 Year Certificates","89"
"1978","Male","Life Sciences","1 But Less Than 2 Year Certificates","145"
"1978","Male","Psychology","Doctorate Degrees","1,626"
"1978","Male","Psychology","Master's Degrees","3,931"
"1978","Male","Psychology","Bachelor's Degrees","18,517"
"1978","Male","Social Sciences","Doctorate Degrees","2,580"
"1978","Male","Social Sciences","Master's Degrees","14,579"
"1978","Male","Social Sciences","Bachelor's Degrees","57,773"
"1978","Male","Social Sciences","Associate's Degrees","740"
"1978","Male","Social Sciences","2 But Less Than 4 Year Certificates","122"
"1978","Male","Social Sciences","1 But Less Than 2 Year Certificates","259"
"1978","Male","Science and Engineering Technologies","Doctorate Degrees","28"
"1978","Male","Science and Engineering Technologies","Master's Degrees","663"
"1978","Male","Science and Engineering Technologies","Bachelor's Degrees","10,936"
"1978","Male","Science and Engineering Technologies","Associate's Degrees","45,417"
"1978","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","9,454"
"1978","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","17,705"
"1978","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","45"
"1978","Male","Interdisciplinary or Other Sciences","Master's Degrees","1,253"
"1978","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","3,132"
"1978","Male","Humanities","Doctorate Degrees","1,955"
"1978","Male","Humanities","Master's Degrees","5,867"
"1978","Male","Humanities","Bachelor's Degrees","34,243"
"1978","Male","Religion and Theology","Doctorate Degrees","1,198"
"1978","Male","Religion and Theology","First Professional Degrees","5,645"
"1978","Male","Religion and Theology","Master's Degrees","1,932"
"1978","Male","Religion and Theology","Bachelor's Degrees","6,177"
"1978","Male","Religion and Theology","Associate's Degrees","336"
"1978","Male","Religion and Theology","2 But Less Than 4 Year Certificates","459"
"1978","Male","Religion and Theology","1 But Less Than 2 Year Certificates","58"
"1978","Male","Arts and Music","Doctorate Degrees","452"
"1978","Male","Arts and Music","Master's Degrees","4,426"
"1978","Male","Arts and Music","Bachelor's Degrees","15,770"
"1978","Male","Arts and Music","Associate's Degrees","1,756"
"1978","Male","Arts and Music","2 But Less Than 4 Year Certificates","182"
"1978","Male","Arts and Music","1 But Less Than 2 Year Certificates","220"
"1978","Male","Architecture and Environmental Design","Doctorate Degrees","57"
"1978","Male","Architecture and Environmental Design","Master's Degrees","2,309"
"1978","Male","Architecture and Environmental Design","Bachelor's Degrees","7,067"
"1978","Male","Education","Doctorate Degrees","4,666"
"1978","Male","Education","Master's Degrees","39,079"
"1978","Male","Education","Bachelor's Degrees","38,866"
"1978","Male","Education","Associate's Degrees","855"
"1978","Male","Education","2 But Less Than 4 Year Certificates","20"
"1978","Male","Education","1 But Less Than 2 Year Certificates","69"
"1978","Male","Business and Management","Doctorate Degrees","860"
"1978","Male","Business and Management","Master's Degrees","40,503"
"1978","Male","Business and Management","Bachelor's Degrees","120,342"
"1978","Male","Business and Management","Associate's Degrees","45,033"
"1978","Male","Business and Management","2 But Less Than 4 Year Certificates","4,818"
"1978","Male","Business and Management","1 But Less Than 2 Year Certificates","5,004"
"1978","Male","Communication and Librarianship","Doctorate Degrees","171"
"1978","Male","Communication and Librarianship","Master's Degrees","2,914"
"1978","Male","Communication and Librarianship","Bachelor's Degrees","12,606"
"1978","Male","Communication and Librarianship","Associate's Degrees","59"
"1978","Male","Communication and Librarianship","2 But Less Than 4 Year Certificates","19"
"1978","Male","Communication and Librarianship","1 But Less Than 2 Year Certificates","4"
"1978","Male","Law","Doctorate Degrees","34"
"1978","Male","Law","First Professional Degrees","25,622"
"1978","Male","Law","Master's Degrees","1,525"
"1978","Male","Law","Bachelor's Degrees","466"
"1978","Male","Social Service Professions","Doctorate Degrees","110"
"1978","Male","Social Service Professions","Master's Degrees","3,426"
"1978","Male","Social Service Professions","Bachelor's Degrees","3,424"
"1978","Male","Social Service Professions","Associate's Degrees","1,265"
"1978","Male","Social Service Professions","2 But Less Than 4 Year Certificates","35"
"1978","Male","Social Service Professions","1 But Less Than 2 Year Certificates","68"
"1978","Male","Vocational Studies and Home Economics","Doctorate Degrees","70"
"1978","Male","Vocational Studies and Home Economics","Master's Degrees","1,723"
"1978","Male","Vocational Studies and Home Economics","Bachelor's Degrees","11,743"
"1978","Male","Vocational Studies and Home Economics","Associate's Degrees","17,113"
"1978","Male","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","911"
"1978","Male","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","2,680"
"1978","Male","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","171"
"1978","Male","Other Non-sciences or Unknown Disciplines","Master's Degrees","2,191"
"1978","Male","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","20,077"
"1978","Male","Other Non-sciences or Unknown Disciplines","Associate's Degrees","89,897"
"1978","Male","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","2,724"
"1978","Male","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","2,690"
"1978","Male","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","5,774"
"1979","Female","Engineering","Doctorate Degrees","83"
"1979","Female","Engineering","Master's Degrees","937"
"1979","Female","Engineering","Bachelor's Degrees","4,881"
"1979","Female","Physical Sciences","Doctorate Degrees","309"
"1979","Female","Physical Sciences","Master's Degrees","679"
"1979","Female","Physical Sciences","Bachelor's Degrees","3,899"
"1979","Female","Geosciences","Doctorate Degrees","41"
"1979","Female","Geosciences","Master's Degrees","310"
"1979","Female","Geosciences","Bachelor's Degrees","1,387"
"1979","Female","Math and Computer Sciences","Doctorate Degrees","152"
"1979","Female","Math and Computer Sciences","Master's Degrees","1,632"
"1979","Female","Math and Computer Sciences","Bachelor's Degrees","7,421"
"1979","Female","Life Sciences","Doctorate Degrees","1,216"
"1979","Female","Life Sciences","First Professional Degrees","5,363"
"1979","Female","Life Sciences","Master's Degrees","13,701"
"1979","Female","Life Sciences","Bachelor's Degrees","70,381"
"1979","Female","Life Sciences","Associate's Degrees","32,961"
"1979","Female","Life Sciences","2 But Less Than 4 Year Certificates","420"
"1979","Female","Life Sciences","1 But Less Than 2 Year Certificates","282"
"1979","Female","Psychology","Doctorate Degrees","1,071"
"1979","Female","Psychology","Master's Degrees","4,343"
"1979","Female","Psychology","Bachelor's Degrees","26,363"
"1979","Female","Social Sciences","Doctorate Degrees","822"
"1979","Female","Social Sciences","Master's Degrees","6,480"
"1979","Female","Social Sciences","Bachelor's Degrees","41,177"
"1979","Female","Social Sciences","Associate's Degrees","1,126"
"1979","Female","Social Sciences","2 But Less Than 4 Year Certificates","133"
"1979","Female","Social Sciences","1 But Less Than 2 Year Certificates","225"
"1979","Female","Science and Engineering Technologies","Doctorate Degrees","4"
"1979","Female","Science and Engineering Technologies","Master's Degrees","344"
"1979","Female","Science and Engineering Technologies","Bachelor's Degrees","6,628"
"1979","Female","Science and Engineering Technologies","Associate's Degrees","27,808"
"1979","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","5,008"
"1979","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","21,276"
"1979","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","5"
"1979","Female","Interdisciplinary or Other Sciences","Master's Degrees","174"
"1979","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,403"
"1979","Female","Humanities","Doctorate Degrees","1,226"
"1979","Female","Humanities","Master's Degrees","7,096"
"1979","Female","Humanities","Bachelor's Degrees","39,610"
"1979","Female","Religion and Theology","Doctorate Degrees","90"
"1979","Female","Religion and Theology","First Professional Degrees","866"
"1979","Female","Religion and Theology","Master's Degrees","853"
"1979","Female","Religion and Theology","Bachelor's Degrees","1,858"
"1979","Female","Religion and Theology","Associate's Degrees","198"
"1979","Female","Religion and Theology","2 But Less Than 4 Year Certificates","498"
"1979","Female","Religion and Theology","1 But Less Than 2 Year Certificates","65"
"1979","Female","Arts and Music","Doctorate Degrees","247"
"1979","Female","Arts and Music","Master's Degrees","4,646"
"1979","Female","Arts and Music","Bachelor's Degrees","25,745"
"1979","Female","Arts and Music","Associate's Degrees","3,806"
"1979","Female","Arts and Music","2 But Less Than 4 Year Certificates","332"
"1979","Female","Arts and Music","1 But Less Than 2 Year Certificates","862"
"1979","Female","Architecture and Environmental Design","Doctorate Degrees","22"
"1979","Female","Architecture and Environmental Design","Master's Degrees","889"
"1979","Female","Architecture and Environmental Design","Bachelor's Degrees","2,401"
"1979","Female","Education","Doctorate Degrees","3,269"
"1979","Female","Education","Master's Degrees","77,609"
"1979","Female","Education","Bachelor's Degrees","94,488"
"1979","Female","Education","Associate's Degrees","4,762"
"1979","Female","Education","2 But Less Than 4 Year Certificates","543"
"1979","Female","Education","1 But Less Than 2 Year Certificates","782"
"1979","Female","Business and Management","Doctorate Degrees","109"
"1979","Female","Business and Management","Master's Degrees","9,802"
"1979","Female","Business and Management","Bachelor's Degrees","55,051"
"1979","Female","Business and Management","Associate's Degrees","51,990"
"1979","Female","Business and Management","2 But Less Than 4 Year Certificates","5,528"
"1979","Female","Business and Management","1 But Less Than 2 Year Certificates","16,003"
"1979","Female","Communication and Librarianship","Doctorate Degrees","88"
"1979","Female","Communication and Librarianship","Master's Degrees","6,061"
"1979","Female","Communication and Librarianship","Bachelor's Degrees","13,092"
"1979","Female","Communication and Librarianship","Associate's Degrees","387"
"1979","Female","Communication and Librarianship","2 But Less Than 4 Year Certificates","63"
"1979","Female","Communication and Librarianship","1 But Less Than 2 Year Certificates","99"
"1979","Female","Law","Doctorate Degrees","7"
"1979","Female","Law","First Professional Degrees","10,084"
"1979","Female","Law","Master's Degrees","255"
"1979","Female","Law","Bachelor's Degrees","274"
"1979","Female","Social Service Professions","Doctorate Degrees","80"
"1979","Female","Social Service Professions","Master's Degrees","7,685"
"1979","Female","Social Service Professions","Bachelor's Degrees","12,153"
"1979","Female","Social Service Professions","Associate's Degrees","2,785"
"1979","Female","Social Service Professions","2 But Less Than 4 Year Certificates","64"
"1979","Female","Social Service Professions","1 But Less Than 2 Year Certificates","189"
"1979","Female","Vocational Studies and Home Economics","Doctorate Degrees","149"
"1979","Female","Vocational Studies and Home Economics","Master's Degrees","2,681"
"1979","Female","Vocational Studies and Home Economics","Bachelor's Degrees","22,064"
"1979","Female","Vocational Studies and Home Economics","Associate's Degrees","5,769"
"1979","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","404"
"1979","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","1,148"
"1979","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","211"
"1979","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","2,126"
"1979","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","19,670"
"1979","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","82,183"
"1979","Female","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","1,781"
"1979","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","1,120"
"1979","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","3,794"
"1979","Male","Engineering","Doctorate Degrees","2,435"
"1979","Male","Engineering","Master's Degrees","14,342"
"1979","Male","Engineering","Bachelor's Degrees","48,588"
"1979","Male","Physical Sciences","Doctorate Degrees","2,312"
"1979","Male","Physical Sciences","Master's Degrees","2,971"
"1979","Male","Physical Sciences","Bachelor's Degrees","13,358"
"1979","Male","Geosciences","Doctorate Degrees","424"
"1979","Male","Geosciences","Master's Degrees","1,467"
"1979","Male","Geosciences","Bachelor's Degrees","4,695"
"1979","Male","Math and Computer Sciences","Doctorate Degrees","814"
"1979","Male","Math and Computer Sciences","Master's Degrees","4,469"
"1979","Male","Math and Computer Sciences","Bachelor's Degrees","13,249"
"1979","Male","Life Sciences","Doctorate Degrees","3,752"
"1979","Male","Life Sciences","First Professional Degrees","21,865"
"1979","Male","Life Sciences","Master's Degrees","10,861"
"1979","Male","Life Sciences","Bachelor's Degrees","51,884"
"1979","Male","Life Sciences","Associate's Degrees","3,882"
"1979","Male","Life Sciences","2 But Less Than 4 Year Certificates","54"
"1979","Male","Life Sciences","1 But Less Than 2 Year Certificates","148"
"1979","Male","Psychology","Doctorate Degrees","1,603"
"1979","Male","Psychology","Master's Degrees","3,688"
"1979","Male","Psychology","Bachelor's Degrees","16,649"
"1979","Male","Social Sciences","Doctorate Degrees","2,360"
"1979","Male","Social Sciences","Master's Degrees","12,892"
"1979","Male","Social Sciences","Bachelor's Degrees","54,714"
"1979","Male","Social Sciences","Associate's Degrees","667"
"1979","Male","Social Sciences","2 But Less Than 4 Year Certificates","98"
"1979","Male","Social Sciences","1 But Less Than 2 Year Certificates","149"
"1979","Male","Science and Engineering Technologies","Doctorate Degrees","25"
"1979","Male","Science and Engineering Technologies","Master's Degrees","553"
"1979","Male","Science and Engineering Technologies","Bachelor's Degrees","11,414"
"1979","Male","Science and Engineering Technologies","Associate's Degrees","44,937"
"1979","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","8,190"
"1979","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","18,661"
"1979","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","63"
"1979","Male","Interdisciplinary or Other Sciences","Master's Degrees","1,156"
"1979","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","3,097"
"1979","Male","Humanities","Doctorate Degrees","1,792"
"1979","Male","Humanities","Master's Degrees","5,017"
"1979","Male","Humanities","Bachelor's Degrees","31,374"
"1979","Male","Religion and Theology","Doctorate Degrees","1,261"
"1979","Male","Religion and Theology","First Professional Degrees","5,741"
"1979","Male","Religion and Theology","Master's Degrees","2,064"
"1979","Male","Religion and Theology","Bachelor's Degrees","5,760"
"1979","Male","Religion and Theology","Associate's Degrees","321"
"1979","Male","Religion and Theology","2 But Less Than 4 Year Certificates","885"
"1979","Male","Religion and Theology","1 But Less Than 2 Year Certificates","46"
"1979","Male","Arts and Music","Doctorate Degrees","461"
"1979","Male","Arts and Music","Master's Degrees","4,036"
"1979","Male","Arts and Music","Bachelor's Degrees","15,544"
"1979","Male","Arts and Music","Associate's Degrees","1,823"
"1979","Male","Arts and Music","2 But Less Than 4 Year Certificates","173"
"1979","Male","Arts and Music","1 But Less Than 2 Year Certificates","154"
"1979","Male","Architecture and Environmental Design","Doctorate Degrees","74"
"1979","Male","Architecture and Environmental Design","Master's Degrees","2,235"
"1979","Male","Architecture and Environmental Design","Bachelor's Degrees","6,896"
"1979","Male","Education","Doctorate Degrees","4,496"
"1979","Male","Education","Master's Degrees","35,757"
"1979","Male","Education","Bachelor's Degrees","35,277"
"1979","Male","Education","Associate's Degrees","837"
"1979","Male","Education","2 But Less Than 4 Year Certificates","35"
"1979","Male","Education","1 But Less Than 2 Year Certificates","19"
"1979","Male","Business and Management","Doctorate Degrees","827"
"1979","Male","Business and Management","Master's Degrees","41,058"
"1979","Male","Business and Management","Bachelor's Degrees","123,478"
"1979","Male","Business and Management","Associate's Degrees","43,167"
"1979","Male","Business and Management","2 But Less Than 4 Year Certificates","4,520"
"1979","Male","Business and Management","1 But Less Than 2 Year Certificates","4,733"
"1979","Male","Communication and Librarianship","Doctorate Degrees","164"
"1979","Male","Communication and Librarianship","Master's Degrees","2,523"
"1979","Male","Communication and Librarianship","Bachelor's Degrees","12,385"
"1979","Male","Communication and Librarianship","Associate's Degrees","115"
"1979","Male","Communication and Librarianship","2 But Less Than 4 Year Certificates","2"
"1979","Male","Communication and Librarianship","1 But Less Than 2 Year Certificates","9"
"1979","Male","Law","Doctorate Degrees","39"
