"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1969","Master's/Comprehensive I","Law","Male","93","."
"1969","Master's/Comprehensive I","Social Service Professions","Female","871","."
"1969","Master's/Comprehensive I","Social Service Professions","Male","299","."
"1969","Master's/Comprehensive I","Vocational Studies and Home Economics","Female","2,172","."
"1969","Master's/Comprehensive I","Vocational Studies and Home Economics","Male","25","."
"1969","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Female","333","."
"1969","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Male","643","."
"1969","Other Specialized","Aerospace Engineering","Male","157","."
"1969","Other Specialized","Civil Engineering","Male","47","."
"1969","Other Specialized","Electrical Engineering","Male","72","."
"1969","Other Specialized","Mechanical Engineering","Male","16","."
"1969","Other Specialized","Industrial Engineering","Male","84","."
"1969","Other Specialized","Other Engineering","Male","415","."
"1969","Other Specialized","Chemistry","Male","21","."
"1969","Other Specialized","Physics","Male","25","."
"1969","Other Specialized","Other Physical Sciences","Male","68","."
"1969","Other Specialized","Atmospheric Sciences","Male","5","."
"1969","Other Specialized","Earth Sciences","Male","22","."
"1969","Other Specialized","Oceanography","Male","5","."
"1969","Other Specialized","Mathematics and Statistics","Male","54","."
"1969","Other Specialized","Computer Science","Male","52","."
"1969","Other Specialized","Psychology","Male","17","."
"1969","Other Specialized","Economics","Male","33","."
"1969","Other Specialized","Political Science and Public Administration","Female","2","."
"1969","Other Specialized","Political Science and Public Administration","Male","134","."
"1969","Other Specialized","Area and Ethnic Studies","Male","24","."
"1969","Other Specialized","Other Social Sciences","Female","2","."
"1969","Other Specialized","Other Social Sciences","Male","82","."
"1969","Other Specialized","Interdisciplinary or Other Sciences","Male","1,900","."
"1969","Other Specialized","History","Male","23","."
"1969","Other Specialized","English and Literature","Male","2","."
"1969","Other Specialized","Foreign Languages","Female","25","."
"1969","Other Specialized","Foreign Languages","Male","38","."
"1969","Other Specialized","Vocational Studies and Home Economics","Female","12","."
"1969","Other Specialized","Vocational Studies and Home Economics","Male","2","."
"1969","Other Specialized","Other Non-sciences or Unknown Disciplines","Male","30","."
"1969","Master's/Comprehensive II","Chemical Engineering","Male","18","."
"1969","Master's/Comprehensive II","Civil Engineering","Male","20","."
"1969","Master's/Comprehensive II","Electrical Engineering","Male","40","."
"1969","Master's/Comprehensive II","Mechanical Engineering","Male","42","."
"1969","Master's/Comprehensive II","Materials Engineering","Male","8","."
"1969","Master's/Comprehensive II","Other Engineering","Female","1","."
"1969","Master's/Comprehensive II","Other Engineering","Male","50","."
"1969","Master's/Comprehensive II","Chemistry","Female","87","."
"1969","Master's/Comprehensive II","Chemistry","Male","200","."
"1969","Master's/Comprehensive II","Physics","Female","10","."
"1969","Master's/Comprehensive II","Physics","Male","71","."
"1969","Master's/Comprehensive II","Other Physical Sciences","Female","2","."
"1969","Master's/Comprehensive II","Other Physical Sciences","Male","19","."
"1969","Master's/Comprehensive II","Earth Sciences","Female","2","."
"1969","Master's/Comprehensive II","Earth Sciences","Male","18","."
"1969","Master's/Comprehensive II","Mathematics and Statistics","Female","269","."
"1969","Master's/Comprehensive II","Mathematics and Statistics","Male","330","."
"1969","Master's/Comprehensive II","Computer Science","Female","1","."
"1969","Master's/Comprehensive II","Computer Science","Male","13","."
"1969","Master's/Comprehensive II","Agricultural Sciences","Female","1","."
"1969","Master's/Comprehensive II","Agricultural Sciences","Male","21","."
"1969","Master's/Comprehensive II","Biological Sciences","Female","332","."
"1969","Master's/Comprehensive II","Biological Sciences","Male","515","."
"1969","Master's/Comprehensive II","Medical Sciences","Female","5","."
"1969","Master's/Comprehensive II","Medical Sciences","Male","103","."
"1969","Master's/Comprehensive II","Other Life Sciences","Female","542","."
"1969","Master's/Comprehensive II","Other Life Sciences","Male","91","."
"1969","Master's/Comprehensive II","Psychology","Female","301","."
"1969","Master's/Comprehensive II","Psychology","Male","282","."
"1969","Master's/Comprehensive II","Economics","Female","43","."
"1969","Master's/Comprehensive II","Economics","Male","395","."
"1969","Master's/Comprehensive II","Political Science and Public Administration","Female","84","."
"1969","Master's/Comprehensive II","Political Science and Public Administration","Male","244","."
"1969","Master's/Comprehensive II","Sociology","Female","609","."
"1969","Master's/Comprehensive II","Sociology","Male","367","."
"1969","Master's/Comprehensive II","Anthropology","Female","3","."
"1969","Master's/Comprehensive II","Anthropology","Male","2","."
"1969","Master's/Comprehensive II","Area and Ethnic Studies","Female","18","."
"1969","Master's/Comprehensive II","Area and Ethnic Studies","Male","19","."
"1969","Master's/Comprehensive II","Other Social Sciences","Female","162","."
"1969","Master's/Comprehensive II","Other Social Sciences","Male","133","."
"1969","Master's/Comprehensive II","Engineering Technologies","Male","77","."
"1969","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Female","4","."
"1969","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Male","19","."
"1969","Master's/Comprehensive II","History","Female","448","."
"1969","Master's/Comprehensive II","History","Male","836","."
"1969","Master's/Comprehensive II","English and Literature","Female","1,041","."
"1969","Master's/Comprehensive II","English and Literature","Male","439","."
"1969","Master's/Comprehensive II","Foreign Languages","Female","397","."
"1969","Master's/Comprehensive II","Foreign Languages","Male","111","."
"1969","Master's/Comprehensive II","Other Humanities","Female","46","."
"1969","Master's/Comprehensive II","Other Humanities","Male","204","."
"1969","Master's/Comprehensive II","Religion and Theology","Female","7","."
"1969","Master's/Comprehensive II","Religion and Theology","Male","8","."
"1969","Master's/Comprehensive II","Arts and Music","Female","486","."
"1969","Master's/Comprehensive II","Arts and Music","Male","228","."
"1969","Master's/Comprehensive II","Other Science/Technical Education","Male","30","."
"1969","Master's/Comprehensive II","Non-Science Education","Female","2,893","."
"1969","Master's/Comprehensive II","Non-Science Education","Male","838","."
"1969","Master's/Comprehensive II","Business and Management","Female","248","."
"1969","Master's/Comprehensive II","Business and Management","Male","2,418","."
"1969","Master's/Comprehensive II","Communication and Librarianship","Female","22","."
"1969","Master's/Comprehensive II","Communication and Librarianship","Male","16","."
"1969","Master's/Comprehensive II","Social Service Professions","Female","18","."
"1969","Master's/Comprehensive II","Vocational Studies and Home Economics","Female","191","."
"1969","Master's/Comprehensive II","Vocational Studies and Home Economics","Male","1","."
"1969","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Female","24","."
"1969","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Male","47","."
"1969","Engineering and Technology","Chemical Engineering","Female","1","."
"1969","Engineering and Technology","Chemical Engineering","Male","90","."
"1969","Engineering and Technology","Civil Engineering","Male","61","."
"1969","Engineering and Technology","Electrical Engineering","Male","277","."
"1969","Engineering and Technology","Mechanical Engineering","Male","509","."
"1969","Engineering and Technology","Materials Engineering","Male","20","."
"1969","Engineering and Technology","Industrial Engineering","Male","160","."
"1969","Engineering and Technology","Other Engineering","Female","1","."
"1969","Engineering and Technology","Other Engineering","Male","175","."
"1969","Engineering and Technology","Chemistry","Female","6","."
"1969","Engineering and Technology","Chemistry","Male","28","."
"1969","Engineering and Technology","Physics","Female","2","."
"1969","Engineering and Technology","Physics","Male","75","."
"1969","Engineering and Technology","Earth Sciences","Female","1","."
"1969","Engineering and Technology","Earth Sciences","Male","7","."
"1969","Engineering and Technology","Mathematics and Statistics","Female","9","."
"1969","Engineering and Technology","Mathematics and Statistics","Male","52","."
"1969","Engineering and Technology","Computer Science","Male","6","."
"1969","Engineering and Technology","Biological Sciences","Female","1","."
"1969","Engineering and Technology","Biological Sciences","Male","1","."
"1969","Engineering and Technology","Other Life Sciences","Female","9","."
"1969","Engineering and Technology","Other Life Sciences","Male","11","."
"1969","Engineering and Technology","Other Social Sciences","Male","7","."
"1969","Engineering and Technology","Engineering Technologies","Male","44","."
"1969","Engineering and Technology","Interdisciplinary or Other Sciences","Male","1","."
"1969","Engineering and Technology","History","Male","1","."
"1969","Engineering and Technology","Arts and Music","Female","23","."
"1969","Engineering and Technology","Arts and Music","Male","31","."
"1969","Engineering and Technology","Architecture and Environmental Design","Male","21","."
"1969","Medical","Computer Science","Female","1","."
"1969","Medical","Computer Science","Male","2","."
"1969","Medical","Biological Sciences","Female","1","."
"1969","Medical","Medical Sciences","Female","3","."
"1969","Medical","Medical Sciences","Male","59","."
"1969","Medical","Other Life Sciences","Female","346","."
"1969","Medical","Other Life Sciences","Male","22","."
"1969","Medical","Health Technologies","Female","8","."
"1969","Health Professions","Chemistry","Female","2","."
"1969","Health Professions","Chemistry","Male","13","."
"1969","Health Professions","Biological Sciences","Female","8","."
"1969","Health Professions","Biological Sciences","Male","24","."
"1969","Health Professions","Medical Sciences","Female","61","."
"1969","Health Professions","Medical Sciences","Male","535","."
"1969","Health Professions","Other Life Sciences","Female","121","."
"1969","Health Professions","Other Life Sciences","Male","4","."
"1969","Health Professions","Health Technologies","Female","35","."
"1969","Baccalaureate/Liberal Arts II","Aerospace Engineering","Male","29","."
"1969","Baccalaureate/Liberal Arts II","Chemical Engineering","Male","29","."
"1969","Baccalaureate/Liberal Arts II","Civil Engineering","Male","135","."
"1969","Baccalaureate/Liberal Arts II","Electrical Engineering","Male","157","."
"1969","Baccalaureate/Liberal Arts II","Mechanical Engineering","Male","208","."
"1969","Baccalaureate/Liberal Arts II","Materials Engineering","Male","11","."
"1969","Baccalaureate/Liberal Arts II","Industrial Engineering","Female","1","."
"1969","Baccalaureate/Liberal Arts II","Industrial Engineering","Male","51","."
"1969","Baccalaureate/Liberal Arts II","Other Engineering","Male","22","."
"1969","Baccalaureate/Liberal Arts II","Chemistry","Female","286","."
"1969","Baccalaureate/Liberal Arts II","Chemistry","Male","820","."
"1969","Baccalaureate/Liberal Arts II","Physics","Female","10","."
"1969","Baccalaureate/Liberal Arts II","Physics","Male","263","."
"1969","Baccalaureate/Liberal Arts II","Other Physical Sciences","Female","40","."
"1969","Baccalaureate/Liberal Arts II","Other Physical Sciences","Male","106","."
"1969","Baccalaureate/Liberal Arts II","Earth Sciences","Female","5","."
"1969","Baccalaureate/Liberal Arts II","Earth Sciences","Male","73","."
"1969","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Female","1,178","."
"1969","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Male","1,675","."
"1969","Baccalaureate/Liberal Arts II","Computer Science","Male","17","."
"1969","Baccalaureate/Liberal Arts II","Agricultural Sciences","Female","2","."
"1969","Baccalaureate/Liberal Arts II","Agricultural Sciences","Male","184","."
"1969","Baccalaureate/Liberal Arts II","Biological Sciences","Female","1,269","."
"1969","Baccalaureate/Liberal Arts II","Biological Sciences","Male","2,127","."
"1969","Baccalaureate/Liberal Arts II","Medical Sciences","Female","2","."
"1969","Baccalaureate/Liberal Arts II","Medical Sciences","Male","29","."
"1969","Baccalaureate/Liberal Arts II","Other Life Sciences","Female","973","."
"1969","Baccalaureate/Liberal Arts II","Other Life Sciences","Male","112","."
"1969","Baccalaureate/Liberal Arts II","Psychology","Female","1,338","."
"1969","Baccalaureate/Liberal Arts II","Psychology","Male","1,083","."
"1969","Baccalaureate/Liberal Arts II","Economics","Female","162","."
"1969","Baccalaureate/Liberal Arts II","Economics","Male","1,125","."
"1969","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Female","230","."
"1969","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Male","874","."
"1969","Baccalaureate/Liberal Arts II","Sociology","Female","2,178","."
"1969","Baccalaureate/Liberal Arts II","Sociology","Male","1,268","."
"1969","Baccalaureate/Liberal Arts II","Anthropology","Female","3","."
"1969","Baccalaureate/Liberal Arts II","Anthropology","Male","4","."
"1969","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Female","19","."
"1969","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Male","23","."
"1969","Baccalaureate/Liberal Arts II","Other Social Sciences","Female","1,193","."
"1969","Baccalaureate/Liberal Arts II","Other Social Sciences","Male","1,497","."
"1969","Baccalaureate/Liberal Arts II","Engineering Technologies","Male","128","."
"1969","Baccalaureate/Liberal Arts II","Health Technologies","Female","12","."
"1969","Baccalaureate/Liberal Arts II","Health Technologies","Male","3","."
"1969","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Female","102","."
"1969","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Male","203","."
"1969","Baccalaureate/Liberal Arts II","History","Female","1,674","."
"1969","Baccalaureate/Liberal Arts II","History","Male","2,608","."
"1969","Baccalaureate/Liberal Arts II","English and Literature","Female","4,176","."
"1969","Baccalaureate/Liberal Arts II","English and Literature","Male","1,405","."
"1969","Baccalaureate/Liberal Arts II","Foreign Languages","Female","1,419","."
"1969","Baccalaureate/Liberal Arts II","Foreign Languages","Male","375","."
"1969","Baccalaureate/Liberal Arts II","Other Humanities","Female","171","."
"1969","Baccalaureate/Liberal Arts II","Other Humanities","Male","800","."
"1969","Baccalaureate/Liberal Arts II","Religion and Theology","Female","22","."
"1969","Baccalaureate/Liberal Arts II","Religion and Theology","Male","128","."
"1969","Baccalaureate/Liberal Arts II","Arts and Music","Female","1,370","."
"1969","Baccalaureate/Liberal Arts II","Arts and Music","Male","684","."
"1969","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Female","1","."
"1969","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Male","22","."
"1969","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Female","6","."
"1969","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Male","257","."
"1969","Baccalaureate/Liberal Arts II","Non-Science Education","Female","12,745","."
"1969","Baccalaureate/Liberal Arts II","Non-Science Education","Male","4,127","."
"1969","Baccalaureate/Liberal Arts II","Business and Management","Female","838","."
"1969","Baccalaureate/Liberal Arts II","Business and Management","Male","6,018","."
"1969","Baccalaureate/Liberal Arts II","Communication and Librarianship","Female","110","."
"1969","Baccalaureate/Liberal Arts II","Communication and Librarianship","Male","49","."
"1969","Baccalaureate/Liberal Arts II","Law","Male","1","."
"1969","Baccalaureate/Liberal Arts II","Social Service Professions","Female","169","."
"1969","Baccalaureate/Liberal Arts II","Social Service Professions","Male","36","."
"1969","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Female","467","."
"1969","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Male","2","."
"1969","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Female","105","."
"1969","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Male","273","."
"1969","Baccalaureate/Liberal Arts I","Chemical Engineering","Female","1","."
"1969","Baccalaureate/Liberal Arts I","Chemical Engineering","Male","47","."
"1969","Baccalaureate/Liberal Arts I","Civil Engineering","Female","1","."
"1969","Baccalaureate/Liberal Arts I","Civil Engineering","Male","127","."
"1969","Baccalaureate/Liberal Arts I","Electrical Engineering","Male","98","."
"1969","Baccalaureate/Liberal Arts I","Mechanical Engineering","Male","89","."
"1969","Baccalaureate/Liberal Arts I","Materials Engineering","Male","15","."
"1969","Baccalaureate/Liberal Arts I","Industrial Engineering","Male","13","."
"1969","Baccalaureate/Liberal Arts I","Other Engineering","Male","27","."
"1969","Baccalaureate/Liberal Arts I","Astronomy","Female","4","."
"1969","Baccalaureate/Liberal Arts I","Astronomy","Male","4","."
"1969","Baccalaureate/Liberal Arts I","Chemistry","Female","293","."
"1969","Baccalaureate/Liberal Arts I","Chemistry","Male","1,004","."
"1969","Baccalaureate/Liberal Arts I","Physics","Female","51","."
"1969","Baccalaureate/Liberal Arts I","Physics","Male","524","."
"1969","Baccalaureate/Liberal Arts I","Other Physical Sciences","Female","2","."
"1969","Baccalaureate/Liberal Arts I","Other Physical Sciences","Male","28","."
"1969","Baccalaureate/Liberal Arts I","Earth Sciences","Female","44","."
"1969","Baccalaureate/Liberal Arts I","Earth Sciences","Male","205","."
"1969","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Female","714","."
"1969","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Male","1,050","."
"1969","Baccalaureate/Liberal Arts I","Agricultural Sciences","Male","7","."
"1969","Baccalaureate/Liberal Arts I","Biological Sciences","Female","1,008","."
"1969","Baccalaureate/Liberal Arts I","Biological Sciences","Male","1,827","."
"1969","Baccalaureate/Liberal Arts I","Other Life Sciences","Female","386","."
"1969","Baccalaureate/Liberal Arts I","Other Life Sciences","Male","461","."
"1969","Baccalaureate/Liberal Arts I","Psychology","Female","1,330","."
"1969","Baccalaureate/Liberal Arts I","Psychology","Male","1,458","."
"1969","Baccalaureate/Liberal Arts I","Economics","Female","334","."
"1969","Baccalaureate/Liberal Arts I","Economics","Male","2,300","."
"1969","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Female","889","."
"1969","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Male","2,105","."
"1969","Baccalaureate/Liberal Arts I","Sociology","Female","1,250","."
"1969","Baccalaureate/Liberal Arts I","Sociology","Male","856","."
"1969","Baccalaureate/Liberal Arts I","Anthropology","Female","141","."
"1969","Baccalaureate/Liberal Arts I","Anthropology","Male","65","."
"1969","Baccalaureate/Liberal Arts I","Linguistics","Female","6","."
"1969","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Female","204","."
"1969","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Male","157","."
"1969","Baccalaureate/Liberal Arts I","Other Social Sciences","Female","129","."
"1969","Baccalaureate/Liberal Arts I","Other Social Sciences","Male","214","."
"1969","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Female","228","."
"1969","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Male","209","."
"1969","Baccalaureate/Liberal Arts I","History","Female","1,411","."
"1969","Baccalaureate/Liberal Arts I","History","Male","2,642","."
"1969","Baccalaureate/Liberal Arts I","English and Literature","Female","2,850","."
"1969","Baccalaureate/Liberal Arts I","English and Literature","Male","1,898","."
"1969","Baccalaureate/Liberal Arts I","Foreign Languages","Female","1,870","."
"1969","Baccalaureate/Liberal Arts I","Foreign Languages","Male","614","."
"1969","Baccalaureate/Liberal Arts I","Other Humanities","Female","548","."
"1969","Baccalaureate/Liberal Arts I","Other Humanities","Male","853","."
"1969","Baccalaureate/Liberal Arts I","Religion and Theology","Female","4","."
"1969","Baccalaureate/Liberal Arts I","Religion and Theology","Male","10","."
"1969","Baccalaureate/Liberal Arts I","Arts and Music","Female","1,808","."
"1969","Baccalaureate/Liberal Arts I","Arts and Music","Male","786","."
"1969","Baccalaureate/Liberal Arts I","Other Science/Technical Education","Male","1","."
"1969","Baccalaureate/Liberal Arts I","Non-Science Education","Female","2,598","."
"1969","Baccalaureate/Liberal Arts I","Non-Science Education","Male","632","."
"1969","Baccalaureate/Liberal Arts I","Business and Management","Female","140","."
"1969","Baccalaureate/Liberal Arts I","Business and Management","Male","1,610","."
"1969","Baccalaureate/Liberal Arts I","Communication and Librarianship","Female","13","."
"1969","Baccalaureate/Liberal Arts I","Communication and Librarianship","Male","16","."
"1969","Baccalaureate/Liberal Arts I","Law","Female","1","."
"1969","Baccalaureate/Liberal Arts I","Law","Male","9","."
"1969","Baccalaureate/Liberal Arts I","Social Service Professions","Female","55","."
"1969","Baccalaureate/Liberal Arts I","Social Service Professions","Male","26","."
"1969","Baccalaureate/Liberal Arts I","Vocational Studies and Home Economics","Female","145","."
"1969","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Female","115","."
"1969","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Male","115","."
"1969","Art, Music, and Design","Chemical Engineering","Male","12","."
"1969","Art, Music, and Design","Electrical Engineering","Male","34","."
"1969","Art, Music, and Design","Mechanical Engineering","Male","25","."
"1969","Art, Music, and Design","Industrial Engineering","Female","1","."
"1969","Art, Music, and Design","Industrial Engineering","Male","15","."
"1969","Art, Music, and Design","Chemistry","Male","5","."
"1969","Art, Music, and Design","Physics","Male","5","."
"1969","Art, Music, and Design","Mathematics and Statistics","Female","1","."
"1969","Art, Music, and Design","Mathematics and Statistics","Male","7","."
"1969","Art, Music, and Design","Engineering Technologies","Male","27","."
"1969","Art, Music, and Design","Interdisciplinary or Other Sciences","Female","1","."
"1969","Art, Music, and Design","Interdisciplinary or Other Sciences","Male","11","."
"1969","Art, Music, and Design","Arts and Music","Female","1,003","."
"1969","Art, Music, and Design","Arts and Music","Male","1,259","."
"1969","Art, Music, and Design","Architecture and Environmental Design","Female","8","."
"1969","Art, Music, and Design","Architecture and Environmental Design","Male","124","."
"1969","Art, Music, and Design","Non-Science Education","Female","238","."
"1969","Art, Music, and Design","Non-Science Education","Male","172","."
"1969","Art, Music, and Design","Vocational Studies and Home Economics","Female","10","."
"1969","Art, Music, and Design","Vocational Studies and Home Economics","Male","38","."
"1969","Associate of Arts/Two Year","Chemistry","Female","1","."
"1969","Associate of Arts/Two Year","Other Physical Sciences","Male","1","."
"1969","Associate of Arts/Two Year","Mathematics and Statistics","Female","4","."
"1969","Associate of Arts/Two Year","Mathematics and Statistics","Male","1","."
"1969","Associate of Arts/Two Year","Biological Sciences","Female","2","."
"1969","Associate of Arts/Two Year","Biological Sciences","Male","3","."
"1969","Associate of Arts/Two Year","Psychology","Female","5","."
"1969","Associate of Arts/Two Year","Political Science and Public Administration","Female","1","."
"1969","Associate of Arts/Two Year","Sociology","Female","1","."
"1969","Associate of Arts/Two Year","Other Social Sciences","Female","9","."
"1969","Associate of Arts/Two Year","Other Social Sciences","Male","13","."
"1969","Associate of Arts/Two Year","History","Female","8","."
"1969","Associate of Arts/Two Year","English and Literature","Female","16","."
"1969","Associate of Arts/Two Year","Foreign Languages","Female","6","."
"1969","Associate of Arts/Two Year","Arts and Music","Female","11","."
"1969","Associate of Arts/Two Year","Non-Science Education","Female","37","."
"1969","Associate of Arts/Two Year","Non-Science Education","Male","3","."
"1969","Associate of Arts/Two Year","Business and Management","Female","5","."
"1969","Associate of Arts/Two Year","Business and Management","Male","158","."
"1969","Associate of Arts/Two Year","Vocational Studies and Home Economics","Female","1","."
"1969","Not Classified","Aerospace Engineering","Male","180","."
"1969","Not Classified","Civil Engineering","Male","55","."
"1969","Not Classified","Electrical Engineering","Female","1","."
"1969","Not Classified","Electrical Engineering","Male","97","."
"1969","Not Classified","Mechanical Engineering","Female","1","."
"1969","Not Classified","Mechanical Engineering","Male","87","."
"1969","Not Classified","Chemistry","Female","28","."
"1969","Not Classified","Chemistry","Male","54","."
"1969","Not Classified","Physics","Female","1","."
"1969","Not Classified","Physics","Male","11","."
"1969","Not Classified","Other Physical Sciences","Male","4","."
"1969","Not Classified","Atmospheric Sciences","Male","5","."
"1969","Not Classified","Earth Sciences","Male","7","."
"1969","Not Classified","Mathematics and Statistics","Female","126","."
"1969","Not Classified","Mathematics and Statistics","Male","103","."
"1969","Not Classified","Agricultural Sciences","Male","1","."
"1969","Not Classified","Biological Sciences","Female","134","."
"1969","Not Classified","Biological Sciences","Male","145","."
"1969","Not Classified","Other Life Sciences","Female","188","."
"1969","Not Classified","Other Life Sciences","Male","6","."
"1969","Not Classified","Psychology","Female","191","."
"1969","Not Classified","Psychology","Male","191","."
"1969","Not Classified","Economics","Female","24","."
"1969","Not Classified","Economics","Male","99","."
"1969","Not Classified","Political Science and Public Administration","Female","66","."
"1969","Not Classified","Political Science and Public Administration","Male","92","."
"1969","Not Classified","Sociology","Female","216","."
"1969","Not Classified","Sociology","Male","194","."
"1969","Not Classified","Anthropology","Male","2","."
"1969","Not Classified","Area and Ethnic Studies","Female","58","."
"1969","Not Classified","Other Social Sciences","Female","249","."
"1969","Not Classified","Other Social Sciences","Male","113","."
"1969","Not Classified","Engineering Technologies","Male","18","."
"1969","Not Classified","Interdisciplinary or Other Sciences","Female","5","."
"1969","Not Classified","Interdisciplinary or Other Sciences","Male","11","."
"1969","Not Classified","History","Female","305","."
"1969","Not Classified","History","Male","331","."
"1969","Not Classified","English and Literature","Female","487","."
"1969","Not Classified","English and Literature","Male","212","."
"1969","Not Classified","Foreign Languages","Female","227","."
"1969","Not Classified","Foreign Languages","Male","54","."
"1969","Not Classified","Other Humanities","Female","33","."
"1969","Not Classified","Other Humanities","Male","217","."
"1969","Not Classified","Religion and Theology","Female","2","."
"1969","Not Classified","Religion and Theology","Male","4","."
"1969","Not Classified","Arts and Music","Female","258","."
"1969","Not Classified","Arts and Music","Male","79","."
"1969","Not Classified","Other Science/Technical Education","Male","15","."
"1969","Not Classified","Non-Science Education","Female","1,600","."
"1969","Not Classified","Non-Science Education","Male","360","."
"1969","Not Classified","Business and Management","Female","74","."
"1969","Not Classified","Business and Management","Male","906","."
"1969","Not Classified","Communication and Librarianship","Male","1","."
"1969","Not Classified","Social Service Professions","Female","36","."
"1969","Not Classified","Vocational Studies and Home Economics","Female","56","."
"1969","Not Classified","Other Non-sciences or Unknown Disciplines","Female","69","."
"1969","Not Classified","Other Non-sciences or Unknown Disciplines","Male","20","."
"1969","Business and Management","Aerospace Engineering","Male","14","."
"1969","Business and Management","Chemical Engineering","Female","1","."
"1969","Business and Management","Chemical Engineering","Male","13","."
"1969","Business and Management","Civil Engineering","Male","28","."
"1969","Business and Management","Electrical Engineering","Male","36","."
"1969","Business and Management","Mechanical Engineering","Male","58","."
"1969","Business and Management","Chemistry","Male","4","."
"1969","Business and Management","Mathematics and Statistics","Male","12","."
"1969","Business and Management","Computer Science","Female","2","."
"1969","Business and Management","Computer Science","Male","22","."
"1969","Business and Management","Agricultural Sciences","Male","16","."
"1969","Business and Management","Economics","Female","1","."
"1969","Business and Management","Economics","Male","6","."
"1969","Business and Management","Other Social Sciences","Female","1","."
"1969","Business and Management","Other Social Sciences","Male","3","."
"1969","Business and Management","Non-Science Education","Female","66","."
"1969","Business and Management","Non-Science Education","Male","53","."
"1969","Business and Management","Business and Management","Female","111","."
"1969","Business and Management","Business and Management","Male","2,604","."
"1969","Teachers","Non-Science Education","Female","384","."
"1969","Teachers","Non-Science Education","Male","103","."
"1969","Theological/Bible/Religion","Other Social Sciences","Female","12","."
"1969","Theological/Bible/Religion","Other Social Sciences","Male","23","."
"1969","Theological/Bible/Religion","Interdisciplinary or Other Sciences","Female","1","."
"1969","Theological/Bible/Religion","History","Male","2","."
"1969","Theological/Bible/Religion","English and Literature","Female","7","."
"1969","Theological/Bible/Religion","English and Literature","Male","34","."
"1969","Theological/Bible/Religion","Foreign Languages","Female","3","."
"1969","Theological/Bible/Religion","Foreign Languages","Male","60","."
"1969","Theological/Bible/Religion","Other Humanities","Female","19","."
"1969","Theological/Bible/Religion","Other Humanities","Male","895","."
"1969","Theological/Bible/Religion","Religion and Theology","Female","5","."
"1969","Theological/Bible/Religion","Religion and Theology","Male","237","."
"1969","Theological/Bible/Religion","Arts and Music","Female","17","."
"1969","Theological/Bible/Religion","Arts and Music","Male","18","."
"1969","Theological/Bible/Religion","Non-Science Education","Female","383","."
"1969","Theological/Bible/Religion","Non-Science Education","Male","461","."
"1969","Theological/Bible/Religion","Business and Management","Male","2","."
"1969","Theological/Bible/Religion","Social Service Professions","Female","1","."
"1969","Theological/Bible/Religion","Social Service Professions","Male","1","."
"1969","Theological/Bible/Religion","Other Non-sciences or Unknown Disciplines","Male","17","."
"1970","Research I","Aerospace Engineering","Female","11","."
"1970","Research I","Aerospace Engineering","Male","1,509","."
"1970","Research I","Chemical Engineering","Female","28","."
"1970","Research I","Chemical Engineering","Male","1,845","."
"1970","Research I","Civil Engineering","Female","27","."
"1970","Research I","Civil Engineering","Male","2,971","."
"1970","Research I","Electrical Engineering","Female","37","."
"1970","Research I","Electrical Engineering","Male","5,279","."
"1970","Research I","Mechanical Engineering","Female","21","."
